DATE,DSF,OPEN SD,COMMENTS
07-Feb-16,0,38.83,
08-Feb-16,0.4,38.5,
09-Feb-16,0.1,39.5,
10-Feb-16,0.3,39.67,
11-Feb-16,0,NA,
12-Feb-16,0,NA,
13-Feb-16,0.2,38,
14-Feb-16,0,39,
15-Feb-16,0,39,
16-Feb-16,0.3,39.5,
17-Feb-16,0.1,39.67,
18-Feb-16,0,36.67,
19-Feb-16,0,38.5,
20-Feb-16,0,NA,
21-Feb-16,0.1,39.17,
22-Feb-16,0,38.67,
23-Feb-16,0,38.67,
24-Feb-16,0,39.33,
25-Feb-16,0,38.17,
26-Feb-16,4.7,43.83,
27-Feb-16,0,NA,*day off but snow on 28th was most likely left over from day before
28-Feb-16,0.7,40,
29-Feb-16,0,42.67,
01-Mar-16,0,43.67,
02-Mar-16,0,41.83,
03-Mar-16,0,42.67,
04-Mar-16,0,NA,
05-Mar-16,0,NA,*Silver sled dog race
06-Mar-16,0,41.5,
07-Mar-16,1.6,40.67,
08-Mar-16,0,41.375,
09-Mar-16,0,NA,
10-Mar-16,0,NA,
11-Mar-16,0,42.17,
12-Mar-16,0,39.25,
13-Mar-16,0,41.67,
14-Mar-16,0,40.33,
15-Mar-16,0,NA,
16-Mar-16,0,NA,
17-Mar-16,0,,
18-Mar-16,1.5,40.25,
19-Mar-16,0,NA,
20-Mar-16,0,39.5,
21-Mar-16,0,39.17,
22-Mar-16,0,39.17,
23-Mar-16,0,39.875,
24-Mar-16,0,NA,
25-Mar-16,0,38.5,
26-Mar-16,0,40.375,
27-Mar-16,0,38.17,
28-Mar-16,0,37.5,
29-Mar-16,0,32.375,
30-Mar-16,0,18.75,
31-Mar-16,0,22,
01-Apr-16,0,NA,
02-Apr-16,0,10.33,
03-Apr-16,0,7.67,
04-Apr-16,0,8.33,
05-Apr-16,0,6.67,
06-Apr-16,0,8.33,
07-Apr-16,3.5,10.83,
08-Apr-16,0,NA,
09-Apr-16,0,7.17,
10-Apr-16,0,9.67,
11-Apr-16,0,5.67,
12-Apr-16,0,0, * Camille and Adam were classifying different things as 0 over the last 2 weeks… will need to adjust
13-Apr-16,0,11,
14-Apr-16,0,10.33,
15-Apr-16,0,NA,
16-Apr-16,0,7.5,
17-Apr-16,0,7.5,
18-Apr-16,0,NA,
19-Apr-16,0,0,"* Done by Mike, use as reference for where to put previous differences between Camille + Adam"
20-Apr-16,0,0,
21-Apr-16,0,0,
22-Apr-16,0,0,
23-Apr-16,0,0,
24-Apr-16,0,0,
25-Apr-16,0,0,
26-Apr-16,0,0,
27-Apr-16,0,0,
28-Apr-16,0,0,
29-Apr-16,0,0,
30-Apr-16,0,0,
01-May-16,0,0,
02-May-16,3.5,3.5,
03-May-16,0,0,
04-May-16,0,0,* Need to check dylans book plus trail cameras for May and Summer in case it snowed.
05-May-16,0,0,
06-May-16,0,0,
07-May-16,0,0,
08-May-16,0,0,
09-May-16,0,0,
10-May-16,0,0,
11-May-16,0,0,
12-May-16,0,0,
13-May-16,0,0,
14-May-16,0,0,
15-May-16,0,0,
16-May-16,0,0,
17-May-16,0,0,
18-May-16,0,0,
19-May-16,0,0,
20-May-16,0,0,
21-May-16,0,0,
22-May-16,0,0,
23-May-16,0,0,
24-May-16,0,0,
25-May-16,0,0,
26-May-16,0,0,
27-May-16,0,0,
28-May-16,0,0,
29-May-16,0,0,
30-May-16,0,0,
31-May-16,0,0,
01-Jun-16,0,0,
02-Jun-16,0,0,
03-Jun-16,0,0,
04-Jun-16,0,0,
05-Jun-16,0,0,
06-Jun-16,0,0,
07-Jun-16,0,0,
08-Jun-16,0,0,
09-Jun-16,0,0,
10-Jun-16,0,0,
11-Jun-16,0,0,
12-Jun-16,0,0,
13-Jun-16,0,0,
14-Jun-16,0,0,
15-Jun-16,0,0,
16-Jun-16,0,0,
17-Jun-16,0,0,
18-Jun-16,0,0,
19-Jun-16,0,0,
20-Jun-16,0,0,
21-Jun-16,0,0,
22-Jun-16,0,0,
23-Jun-16,0,0,
24-Jun-16,0,0,
25-Jun-16,0,0,
26-Jun-16,0,0,
27-Jun-16,0,0,
28-Jun-16,0,0,
29-Jun-16,0,0,
30-Jun-16,0,0,
01-Jul-16,0,0,
02-Jul-16,0,0,
03-Jul-16,0,0,
04-Jul-16,0,0,
05-Jul-16,0,0,
06-Jul-16,0,0,
07-Jul-16,0,0,
08-Jul-16,0,0,
09-Jul-16,0,0,
10-Jul-16,0,0,
11-Jul-16,0,0,
12-Jul-16,0,0,
13-Jul-16,0,0,
14-Jul-16,0,0,
15-Jul-16,0,0,
16-Jul-16,0,0,
17-Jul-16,0,0,
18-Jul-16,0,0,
19-Jul-16,0,0,
20-Jul-16,0,0,
21-Jul-16,0,0,
22-Jul-16,0,0,
23-Jul-16,0,0,
24-Jul-16,0,0,
25-Jul-16,0,0,
26-Jul-16,0,0,
27-Jul-16,0,0,
28-Jul-16,0,0,
29-Jul-16,0,0,
30-Jul-16,0,0,
31-Jul-16,0,0,
01-Aug-16,0,0,
02-Aug-16,0,0,
03-Aug-16,0,0,
04-Aug-16,0,0,
05-Aug-16,0,0,
06-Aug-16,0,0,
07-Aug-16,0,0,
08-Aug-16,0,0,
09-Aug-16,0,0,
10-Aug-16,0,0,
11-Aug-16,0,0,
12-Aug-16,0,0,
13-Aug-16,0,0,
14-Aug-16,0,0,
15-Aug-16,0,0,
16-Aug-16,0,0,
17-Aug-16,0,0,
18-Aug-16,0,0,
19-Aug-16,0,0,
20-Aug-16,0,0,
21-Aug-16,0,0,
22-Aug-16,0,0,
23-Aug-16,0,0,
24-Aug-16,0,0,
25-Aug-16,0,0,
26-Aug-16,0,0,
27-Aug-16,0,0,
28-Aug-16,0,0,
29-Aug-16,0,0,
30-Aug-16,0,0,
31-Aug-16,0,0,
01-Sep-16,0,0,
02-Sep-16,0,0,
03-Sep-16,0,0,
04-Sep-16,0,0,
05-Sep-16,0,0,
06-Sep-16,0,0,
07-Sep-16,0,0,
08-Sep-16,0,0,
09-Sep-16,0,0,
10-Sep-16,0,0,
11-Sep-16,0,0,
12-Sep-16,0,0,
13-Sep-16,0,0,
14-Sep-16,0,0,
15-Sep-16,0,0,
16-Sep-16,0,0,
17-Sep-16,0,0,
18-Sep-16,0,0,
19-Sep-16,0,0,
20-Sep-16,0,0,
21-Sep-16,0,0,
22-Sep-16,0,0,
23-Sep-16,0,0,
24-Sep-16,0,0,
25-Sep-16,0,0,
26-Sep-16,0.5,0,
27-Sep-16,0,0,
28-Sep-16,0,0,
29-Sep-16,0,0,
30-Sep-16,0,0,
01-Oct-16,0,0,
02-Oct-16,0,0,
03-Oct-16,0.1,0,
04-Oct-16,0,0,
05-Oct-16,0,0,
06-Oct-16,0,0,
07-Oct-16,0,0,
08-Oct-16,0,0,
09-Oct-16,0,0,
10-Oct-16,0,0,
11-Oct-16,0,0,
12-Oct-16,0,0,
13-Oct-16,0,0,
14-Oct-16,0,0,
15-Oct-16,0,0,
16-Oct-16,0,0,
17-Oct-16,3.3,4,
18-Oct-16,4,9,* the depth and hardness measurements were taken on the 19th but put here… we removed snow from a board and all the new snowfall when we got back from haines on the 19th is therefore actually from the 18th  
19-Oct-16,0,9,
20-Oct-16,0.1,6.5,
21-Oct-16,0,8,
22-Oct-16,3.5,11.5,
23-Oct-16,0.8,7.33,
24-Oct-16,0.3,8,
25-Oct-16,0,8.83,
26-Oct-16,0,NA,
27-Oct-16,0,7.33,
28-Oct-16,0,7.67,
29-Oct-16,0,9.17,
30-Oct-16,0,8.17,
31-Oct-16,0,7.67,
01-Nov-16,0,8,
02-Nov-16,0,NA,
03-Nov-16,2.3,10,
04-Nov-16,1.2,12.33,
05-Nov-16,6,NA,
06-Nov-16,0.1,15.5,
07-Nov-16,3.2,18,
08-Nov-16,0.4,16.67,
09-Nov-16,0.2,17.83,
10-Nov-16,0,NA,
11-Nov-16,0,16.33,
12-Nov-16,2,17,
13-Nov-16,0,16.67,
14-Nov-16,1.2,17.83,
15-Nov-16,0,17.17,
16-Nov-16,0.1,18.66666667,
17-Nov-16,1.3,NA,*switched daily snowfall from 18th to 17th based on snow cover cameras.
18-Nov-16,0,17.66666667,
19-Nov-16,0.1,16,
20-Nov-16,0,18.33,
21-Nov-16,0.1,18,
22-Nov-16,0,NA,
23-Nov-16,0.1,16.33,
24-Nov-16,0,14.83,
25-Nov-16,0.2,18.67,
26-Nov-16,0,19.33,
27-Nov-16,0,NA,
28-Nov-16,1.1,20,
29-Nov-16,7.2,NA,* wasn’t checked today but divided the 30th by two
30-Nov-16,7.3,28.67,
01-Dec-16,1.2,24.33,
02-Dec-16,8,NA,* only chitty was done… divided the 3rd DSF similar to chitty
03-Dec-16,3,28.33,
04-Dec-16,0,NA,
05-Dec-16,0.2,25,
06-Dec-16,0,NA,
07-Dec-16,0.1,26.83,
08-Dec-16,0.5,26.83,
09-Dec-16,0.5,30.33,
10-Dec-16,0,29.33,
11-Dec-16,0.1,27,
12-Dec-16,0,24.67,
13-Dec-16,0,NA,
14-Dec-16,0,NA,
15-Dec-16,0,27.83,
16-Dec-16,0,25.33,
17-Dec-16,0,27.33,
18-Dec-16,0.3,NA,
19-Dec-16,2.7,31.33,
20-Dec-16,0,NA,
21-Dec-16,0,NA,
22-Dec-16,0.2,31.33,
23-Dec-16,0,NA,
24-Dec-16,0.1,31,
25-Dec-16,0.1,NA,
26-Dec-16,0,32,
27-Dec-16,0,NA,
28-Dec-16,0,NA,
29-Dec-16,0.1,31.5,
